"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"GOED","1847 Goedeker Inc.","7.35","$44.92M","2020","Consumer Services","Home Furnishings","https://old.nasdaq.com/symbol/goed"
"XXII","22nd Century Group, Inc","0.6164","$85.59M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/xxii"
"FAX","Aberdeen Asia-Pacific Income Fund Inc","4.19","$1.04B","1986","n/a","n/a","https://old.nasdaq.com/symbol/fax"
"IAF","Aberdeen Australia Equity Fund Inc","4.86","$110.53M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/iaf"
"AEF","Aberdeen Emerging Markets Equity Income Fund, Inc.","6.78","$344.1M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aef"
"FCO","Aberdeen Global Income Fund, Inc.","7.01","$61.16M","1992","n/a","n/a","https://old.nasdaq.com/symbol/fco"
"ACU","Acme United Corporation.","23.24","$77.54M","1988","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acu"
"ATNM","Actinium Pharmaceuticals, Inc.","8","$108.68M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnm"
"AE","Adams Resources & Energy, Inc.","21.65","$91.85M","n/a","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/ae"
"ACY","AeroCentury Corp.","2.35","$3.63M","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/acy"
"UAVS","AgEagle Aerial Systems, Inc.","3.04","$173.99M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/uavs"
"AGE","AgeX Therapeutics, Inc.","0.8498","$32.03M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/age"
"AIRI","Air Industries Group","1.14","$34.91M","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/airi"
"AXU","Alexco Resource Corp","2.95","$403.59M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/axu"
