,Symbol,Name,Exchange,Sector,industry,dividendRate,exDividendDate,lastSplitDate,lastSplitFactor,Buy,Sell,Hold,Previous_Earnings_Date,Expected,Actual,Surprise,Future Earnings Date,daysSinceLastDividend
0,DDD,3D Systems Corporation,NYSE,Technology,Computer Software: Prepackaged Software,,0.0,0,0.0,0.0,0.0,1.0,2020-08-04,-0.1,-0.13,-30,2020-10-28,0.0
1,MMM,3M Company,NYSE,Health Care,Medical/Dental Instruments,5.88,1597968000.0,0,0.0,1.0,2.0,4.0,2020-07-27,1.8,1.78,-1.17,2020-10-27,-25.0
2,WUBA,58.com Inc.,NYSE,Technology,"Computer Software: Programming, Data Processing",,0.0,0,0.0,0.0,0.0,0.0,2020-06-25,-0.04,2.09,+4744.44,2020-11-16,0.0
3,EGHT,8x8 Inc,NYSE,Technology,EDP Services,,0.0,0,0.0,1.0,1.0,6.0,2020-07-29,-0.12,-0.07,+43.55,2020-10-28,0.0
4,EGHT,8x8 Inc,Nasdaq,Technology,EDP Services,,0.0,0,0.0,1.0,1.0,6.0,2020-07-29,-0.12,-0.07,+43.55,2020-10-28,0.0
5,AHC,A.H. Belo Corporation,NYSE,Consumer Services,Newspapers/Magazines,0.16,1597276800.0,0,0.0,0.0,0.0,0.0,2020-07-27,-,-,-,,-17.0
6,AOS,A.O Smith Corporation,NYSE,Consumer Durables,Consumer Electronics/Appliances,0.96,1596067200.0,0,0.0,0.0,1.0,5.0,2020-07-29,0.42,0.45,+7.14,2020-10-27,-1.0
7,ATEN,"A10 Networks, Inc.",NYSE,Technology,Computer Communications Equipment,,0.0,0,0.0,0.0,0.0,0.0,2020-07-27,0.08,0.09,+18.42,2020-10-27,0.0
8,AIR,AAR Corp.,NYSE,Capital Goods,Aerospace,0.3,1585267200.0,0,0.0,0.0,0.0,0.0,2020-07-20,-0.29,0.26,+189.97,2020-12-17,115.0
9,AAN,"Aaron&#39;s,  Inc.",NYSE,Technology,Diversified Commercial Services,0.16,1600214400.0,0,0.0,4.0,0.0,0.0,2020-07-28,0.78,1.18,+51.87,2020-11-02,-50.0
10,ABB,ABB Ltd,NYSE,Consumer Durables,Electrical Products,0.83,1585526400.0,0,0.0,0.0,0.0,0.0,2020-07-21,0.09,0.21,+131.11,,113.0
11,ABT,Abbott Laboratories,NYSE,Health Care,Major Pharmaceuticals,1.44,1594684800.0,0,0.0,8.0,0.0,0.0,2020-07-15,0.42,0.57,+34.43,2020-10-14,1.0
12,ABBV,AbbVie Inc.,NYSE,Health Care,Major Pharmaceuticals,4.72,1602633600.0,0,0.0,5.0,0.0,0.0,2020-07-30,2.19,2.34,+6.9,2020-10-30,-76.0
13,ANF,Abercrombie & Fitch Company,NYSE,Consumer Services,Clothing/Shoe/Accessory Stores,,1583366400.0,0,0.0,0.0,0.0,0.0,2020-08-26,-0.83,0.23,+127.64,2020-11-24,174.0
