,Symbol,Name,Exchange,Sector,industry,dividendRate,exDividendDate,lastSplitDate,lastSplitFactor,Buy,Sell,Hold,Previous_Earnings_Date,Expected,Actual,Surprise,Future Earnings Date,daysSinceLastDividend,BBP,Exponential Moving Average,day1,day2,day3,day4,close on day 0,close on day 1,close on day 2,close on day 3,close on day 4
0,DDD,3D Systems Corporation,NYSE,Technology,Computer Software: Prepackaged Software,,0.0,0,0.0,0.0,0.0,1.0,2020-08-04,-0.1,-0.13,-30,2020-10-28,0.0,-0.4552604188724274,0.7897526774585013,1.0,0.0,0.0,1.0,6.610000133514404,6.690000057220459,6.590000152587891,6.590000152587891,6.71999979019165
1,MMM,3M Company,NYSE,Health Care,Medical/Dental Instruments,5.88,1597968000.0,0,0.0,1.0,2.0,4.0,2020-07-27,1.8,1.78,-1.17,2020-10-27,-25.0,0.08016602450687318,0.9373321299427668,1.0,1.0,1.0,1.0,154.9595184326172,156.3766326904297,157.27842712402344,157.85317993164062,158.39822387695312
2,WUBA,58.com Inc.,NYSE,Technology,"Computer Software: Programming, Data Processing",,0.0,0,0.0,0.0,0.0,0.0,2020-06-25,-0.04,2.09,+4744.44,2020-11-16,0.0,0.8396194964371456,0.8411681873679411,1.0,1.0,0.0,0.0,54.220001220703125,54.5,54.27000045776367,54.040000915527344,54.0099983215332
3,EGHT,8x8 Inc,NYSE,Technology,EDP Services,,0.0,0,0.0,1.0,1.0,6.0,2020-07-29,-0.12,-0.07,+43.55,2020-10-28,0.0,0.7011161913540197,0.7883203062911828,0.0,0.0,0.0,0.0,16.709999084472656,16.639999389648438,16.110000610351562,16.420000076293945,16.549999237060547
4,EGHT,8x8 Inc,Nasdaq,Technology,EDP Services,,0.0,0,0.0,1.0,1.0,6.0,2020-07-29,-0.12,-0.07,+43.55,2020-10-28,0.0,0.7011161913540197,0.7883203062911828,0.0,0.0,0.0,0.0,16.709999084472656,16.639999389648438,16.110000610351562,16.420000076293945,16.549999237060547
5,AHC,A.H. Belo Corporation,NYSE,Consumer Services,Newspapers/Magazines,0.16,1597276800.0,0,0.0,0.0,0.0,0.0,2020-07-27,-,-,-,,-17.0,0.8458465605621068,0.6256544040720028,1.0,0.0,0.0,0.0,1.7288371324539185,1.7874418497085571,1.6800000667572021,1.5920929908752441,1.5725581645965576
6,AOS,A.O Smith Corporation,NYSE,Consumer Durables,Consumer Electronics/Appliances,0.96,1596067200.0,0,0.0,0.0,1.0,5.0,2020-07-29,0.42,0.45,+7.14,2020-10-27,-1.0,0.6564154735539343,1.0240631036612093,1.0,1.0,1.0,1.0,50.79026412963867,50.96945571899414,51.07896041870117,52.60206985473633,52.0047721862793
7,ATEN,"A10 Networks, Inc.",NYSE,Technology,Computer Communications Equipment,,0.0,0,0.0,0.0,0.0,0.0,2020-07-27,0.08,0.09,+18.42,2020-10-27,0.0,0.8718151592045105,1.0857071387740524,0.0,0.0,0.0,0.0,7.670000076293945,7.519999980926514,7.369999885559082,7.449999809265137,7.110000133514404
8,AIR,AAR Corp.,NYSE,Capital Goods,Aerospace,0.3,1585267200.0,0,0.0,0.0,0.0,0.0,2020-07-20,-0.29,0.26,+189.97,2020-12-17,115.0,-0.5122555060631879,0.45417165589690967,1.0,1.0,1.0,1.0,18.940000534057617,19.100000381469727,19.459999084472656,19.18000030517578,19.079999923706055
9,AAN,"Aaron&#39;s,  Inc.",NYSE,Technology,Diversified Commercial Services,0.16,1600214400.0,0,0.0,4.0,0.0,0.0,2020-07-28,0.78,1.18,+51.87,2020-11-02,-50.0,-0.17941411146611885,0.7551582853132848,1.0,1.0,1.0,1.0,43.689998626708984,44.43000030517578,44.939998626708984,44.70000076293945,45.970001220703125
10,ABB,ABB Ltd,NYSE,Consumer Durables,Electrical Products,0.83,1585526400.0,0,0.0,0.0,0.0,0.0,2020-07-21,0.09,0.21,+131.11,,113.0,0.7728446194870257,1.1181360000472065,0.0,1.0,0.0,1.0,24.829999923706055,24.600000381469727,24.850000381469727,24.760000228881836,24.889999389648438
11,ABT,Abbott Laboratories,NYSE,Health Care,Major Pharmaceuticals,1.44,1594684800.0,0,0.0,8.0,0.0,0.0,2020-07-15,0.42,0.57,+34.43,2020-10-14,1.0,0.641938167758356,1.0752319432092232,1.0,1.0,1.0,1.0,92.22197723388672,93.30775451660156,92.6801986694336,92.72999572753906,94.81999969482422
12,ABBV,AbbVie Inc.,NYSE,Health Care,Major Pharmaceuticals,4.72,1602633600.0,0,0.0,5.0,0.0,0.0,2020-07-30,2.19,2.34,+6.9,2020-10-30,-76.0,0.09104797771649262,1.1594579769566544,0.0,0.0,0.0,0.0,98.02999877929688,97.11000061035156,97.16000366210938,96.70999908447266,97.01000213623047
13,ANF,Abercrombie & Fitch Company,NYSE,Consumer Services,Clothing/Shoe/Accessory Stores,,1583366400.0,0,0.0,0.0,0.0,0.0,2020-08-26,-0.83,0.23,+127.64,2020-11-24,174.0,0.14803908535480836,0.6560463601617375,0.0,0.0,1.0,1.0,10.319999694824219,10.0600004196167,10.109999656677246,10.579999923706055,10.84000015258789
14,ABM,ABM Industries Incorporated,NYSE,Finance,Diversified Commercial Services,0.74,1601424000.0,0,0.0,1.0,0.0,1.0,2020-09-07,0.42,0.75,+79.43,2020-12-16,-23.0,0.21518066711013534,1.0133455187818794,1.0,0.0,1.0,0.0,38.189998626708984,38.66999816894531,37.7599983215332,38.33000183105469,36.650001525878906
15,AKR,Acadia Realty Trust,NYSE,Consumer Services,Real Estate Investment Trusts,,1585526400.0,0,0.0,0.0,0.0,2.0,2020-08-04,0.05,0.22,+378.26,2020-10-21,127.0,-0.0921376787755409,0.47331100543247506,1.0,1.0,0.0,0.0,12.220000267028809,12.510000228881836,12.270000457763672,12.039999961853027,11.720000267028809
16,ACEL,"Accel Entertainment, Inc.",NYSE,Consumer Services,Services-Misc. Amusement & Recreation,,0.0,0,0.0,0.0,0.0,0.0,2020-08-05,-0.17,-0.17,-,,0.0,-0.5696562493075067,0.857156373447526,0.0,0.0,0.0,0.0,8.729999542236328,8.350000381469727,7.989999771118164,7.800000190734863,7.809999942779541
17,ACN,Accenture plc,NYSE,Miscellaneous,Business Services,3.2,1594771200.0,0,0.0,4.0,1.0,1.0,2020-06-24,1.85,1.9,+2.93,2020-12-17,-21.0,0.2773492452622577,1.0162675261955685,0.0,0.0,0.0,1.0,204.45095825195312,202.18923950195312,200.8142852783203,201.86045837402344,206.64291381835938
18,ACCO,Acco Brands Corporation,NYSE,Consumer Durables,Publishing,0.26,1598313600.0,0,0.0,0.0,0.0,0.0,2020-07-27,-,0.12,-,2020-10-27,-29.0,-0.059205828610767876,0.734007447915353,1.0,1.0,1.0,1.0,6.479701995849609,6.578779697418213,6.796751499176025,6.935461044311523,6.677857875823975
19,AYI,"Acuity Brands, Inc. ",NYSE,Consumer Durables,Building Products,0.52,1594857600.0,0,0.0,5.0,1.0,2.0,2020-06-29,1.22,1.94,+59.15,2020-10-08,-17.0,-0.472826700444727,0.7199740180644386,1.0,0.0,0.0,0.0,89.2015151977539,90.409912109375,85.6961669921875,86.704833984375,84.33797454833984
20,GOLF,Acushnet Holdings Corp.,NYSE,Consumer Non-Durables,Recreational Products/Toys,0.62,1599091200.0,0,0.0,0.0,2.0,1.0,2020-08-04,0.16,0.03,-81.25,2020-10-29,-30.0,0.739520393948789,1.2195045850064048,1.0,1.0,1.0,1.0,37.7569580078125,38.7725715637207,38.01584243774414,37.88639831542969,38.55352020263672
21,ADX,"Adams Diversified Equity Fund, Inc.",NYSE,,,0.2,1597622400.0,0,0.0,0.0,0.0,0.0,2020-07-23,-,-,-,2020-10-12,-25.0,0.7724532064624112,0.9886130654314649,1.0,1.0,1.0,1.0,15.49221420288086,15.52212142944336,15.591907501220703,15.68163013458252,15.731475830078125
22,ADCT,ADC Therapeutics SA,NYSE,Health Care,Major Pharmaceuticals,,0.0,0,0.0,0.0,0.0,0.0,2020-08-17,-0.65,-0.73,-12.31,,0.0,0.525446364370178,,0.0,0.0,0.0,0.0,49.779998779296875,43.25,43.0,42.29999923706055,39.529998779296875
23,AGRO,Adecoagro S.A.,NYSE,Consumer Non-Durables,Farming/Seeds/Milling,,0.0,0,0.0,0.0,0.0,0.0,2020-08-12,-,-,-,2020-11-11,0.0,-0.20055534030897706,0.6314437991279147,1.0,1.0,1.0,1.0,4.300000190734863,4.460000038146973,4.429999828338623,4.489999771118164,4.659999847412109
24,ADNT,Adient plc,NYSE,Capital Goods,Auto Parts:O.E.M.,,1540252800.0,0,0.0,2.0,0.0,1.0,2020-08-05,-2.08,-2.78,-33.59,2020-11-05,652.0,0.5809318919598868,0.810307988806499,0.0,0.0,0.0,0.0,18.389999389648438,17.170000076293945,16.639999389648438,17.1200008392334,17.6299991607666
25,ADT,ADT Inc.,NYSE,Consumer Services,Diversified Commercial Services,0.14,1600300800.0,0,0.0,0.0,0.0,2.0,2020-08-04,0.29,0.41,+40.41,2020-11-10,-44.0,0.03577830593294683,0.9403587164905988,1.0,1.0,1.0,1.0,7.909999847412109,8.4399995803833,8.649999618530273,8.609999656677246,13.479999542236328
26,ATGE,Adtalem Global Education Inc.,NYSE,Consumer Services,Other Consumer Services,,1480464000.0,0,0.0,0.0,0.0,0.0,2020-08-17,0.64,0.58,-9.8,2020-10-27,1356.0,0.6632238273613006,1.0622788995742385,1.0,0.0,0.0,0.0,37.040000915527344,37.52000045776367,36.040000915527344,35.65999984741211,35.75
27,AAP,Advance Auto Parts Inc,NYSE,Consumer Services,Other Specialty Stores,1.0,1600300800.0,0,0.0,5.0,1.0,2.0,2020-08-17,1.98,2.92,+47.25,2020-11-10,-31.0,0.6363452790385956,0.9577303348437656,0.0,1.0,1.0,1.0,153.32000732421875,151.94000244140625,154.27999877929688,155.99000549316406,158.66000366210938
28,ADSW,"Advanced Disposal Services, Inc.",NYSE,Public Utilities,Environmental Services,,0.0,0,0.0,0.0,0.0,1.0,2020-07-29,-,0.19,+9400,2020-10-27,0.0,-0.03949102207137819,0.9160748328971615,1.0,1.0,1.0,1.0,30.149999618530273,30.15999984741211,30.15999984741211,30.200000762939453,30.170000076293945
29,ASIX,AdvanSix Inc.,NYSE,Basic Industries,Major Chemicals,,0.0,0,0.0,0.0,0.0,0.0,2020-07-30,0.31,0.41,+32.26,,0.0,0.5280222915073083,0.5644587353646578,1.0,1.0,0.0,1.0,11.739999771118164,11.800000190734863,11.90999984741211,11.699999809265137,12.0600004196167
30,ACM,AECOM,NYSE,Consumer Services,Military/Government/Technical,,0.0,0,0.0,2.0,0.0,0.0,2020-08-03,0.49,0.55,+12.02,2020-11-10,0.0,0.02004140888806852,0.846542016251859,0.0,1.0,1.0,0.0,36.720001220703125,36.349998474121094,37.33000183105469,36.880001068115234,36.189998626708984
31,AEG,Aegon NV,NYSE,Finance,Life Insurance,0.14,1597968000.0,0,0.0,0.0,0.0,0.0,2020-08-12,-,-,-,,-9.0,0.5183906524673922,0.7506351906886317,1.0,1.0,1.0,1.0,3.0953798294067383,3.0953798294067383,3.1635169982910156,3.2608559131622314,3.3776628971099854
32,AER,Aercap Holdings N.V.,NYSE,Technology,Diversified Commercial Services,,0.0,0,0.0,2.0,0.0,0.0,2020-07-28,1.37,1.92,+39.74,2020-11-06,0.0,-0.23960801680977592,0.4852828425256259,0.0,1.0,0.0,0.0,29.489999771118164,29.360000610351562,29.530000686645508,28.229999542236328,27.290000915527344
33,AFL,Aflac Incorporated,NYSE,Finance,Accident &Health Insurance,1.12,1597708800.0,0,0.0,0.0,0.0,3.0,2020-07-27,1.07,1.28,+20.08,2020-10-27,-22.0,0.3120145068334654,0.6599678493439056,1.0,1.0,1.0,1.0,35.7110595703125,36.237098693847656,36.38597869873047,36.7135124206543,36.495155334472656
34,MITT,"AG Mortgage Investment Trust, Inc.",NYSE,,,,1577664000.0,0,0.0,0.0,1.0,0.0,2020-06-11,0.3,0.34,+14.09,2020-11-02,164.0,0.31916332024662597,0.17292478513238596,1.0,1.0,1.0,1.0,2.75,3.5999999046325684,7.570000171661377,5.78000020980835,6.239999771118164
