,Symbol,Name,Exchange,Sector,industry,dividendRate,exDividendDate,lastSplitDate,lastSplitFactor,Buy,Sell,Hold,Previous_Earnings_Date,Expected,Actual,Surprise,Future Earnings Date
0,DDD,3D Systems Corporation,NYSE,Technology,Computer Software: Prepackaged Software,,,,,0,0,1,2020-08-04,-0.1,-0.13,-30,2020-10-28
1,MMM,3M Company,NYSE,Health Care,Medical/Dental Instruments,5.88,1597968000,,,1,2,4,2020-07-27,1.8,1.78,-1.17,2020-10-27
2,WUBA,58.com Inc.,NYSE,Technology,"Computer Software: Programming, Data Processing",,,,,0,0,0,2020-06-25,-0.04,2.09,+4744.44,2020-11-16
3,EGHT,8x8 Inc,NYSE,Technology,EDP Services,,,,,1,1,6,2020-07-29,-0.12,-0.07,+43.55,2020-10-28
4,EGHT,8x8 Inc,Nasdaq,Technology,EDP Services,,,,,1,1,6,2020-07-29,-0.12,-0.07,+43.55,2020-10-28
5,AHC,A.H. Belo Corporation,NYSE,Consumer Services,Newspapers/Magazines,0.16,1597276800,,,0,0,0,2020-07-27,-,-,-,
6,AOS,A.O Smith Corporation,NYSE,Consumer Durables,Consumer Electronics/Appliances,0.96,1596067200,,,0,1,5,2020-07-29,0.42,0.45,+7.14,2020-10-27
7,ATEN,"A10 Networks, Inc.",NYSE,Technology,Computer Communications Equipment,,,,,0,0,0,2020-07-27,0.08,0.09,+18.42,2020-10-27
8,AIR,AAR Corp.,NYSE,Capital Goods,Aerospace,0.3,1585267200,,,0,0,0,2020-07-20,-0.29,0.26,+189.97,2020-12-17
9,AAN,"Aaron&#39;s,  Inc.",NYSE,Technology,Diversified Commercial Services,0.16,1600214400,,,4,0,0,2020-07-28,0.78,1.18,+51.87,2020-11-02
10,ABB,ABB Ltd,NYSE,Consumer Durables,Electrical Products,0.83,1585526400,,,0,0,0,2020-07-21,0.09,0.21,+131.11,
11,ABT,Abbott Laboratories,NYSE,Health Care,Major Pharmaceuticals,1.44,1594684800,,,8,0,0,2020-07-15,0.42,0.57,+34.43,2020-10-14
12,ABBV,AbbVie Inc.,NYSE,Health Care,Major Pharmaceuticals,4.72,1602633600,,,5,0,0,2020-07-30,2.19,2.34,+6.9,2020-10-30
13,ANF,Abercrombie & Fitch Company,NYSE,Consumer Services,Clothing/Shoe/Accessory Stores,,1583366400,,,0,0,0,2020-08-26,-0.83,0.23,+127.64,2020-11-24
14,ABM,ABM Industries Incorporated,NYSE,Finance,Diversified Commercial Services,0.74,1601424000,,,1,0,1,2020-09-07,0.42,0.75,+79.43,2020-12-16
15,AKR,Acadia Realty Trust,NYSE,Consumer Services,Real Estate Investment Trusts,,1585526400,,,0,0,2,2020-08-04,0.05,0.22,+378.26,2020-10-21
16,ACEL,"Accel Entertainment, Inc.",NYSE,Consumer Services,Services-Misc. Amusement & Recreation,,,,,0,0,0,2020-08-05,-0.17,-0.17,-,
