"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"TXG","10x Genomics, Inc.","111.38","$11.18B","2019","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/txg"
"YI","111, Inc.","6.23","$513.1M","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/yi"
"PIH","1347 Property Insurance Holdings, Inc.","4.2698","$25.91M","2014","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pih"
"PIHPP","1347 Property Insurance Holdings, Inc.","24.9899","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pihpp"
"TURN","180 Degree Capital Corp.","1.96","$61M","n/a","Finance","Finance/Investors Services","https://old.nasdaq.com/symbol/turn"
"FLWS","1-800-FLOWERS.COM, Inc.","31.46","$2.02B","1999","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/flws"
"BCOW","1895 Bancorp of Wisconsin, Inc.","8.2359","$40.16M","2019","Finance","Banks","https://old.nasdaq.com/symbol/bcow"
"ONEM","1Life Healthcare, Inc.","30.23","$3.82B","2020","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/onem"
"FCCY","1st Constitution Bancorp (NJ)","12.08","$123.4M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fccy"
"SRCE","1st Source Corporation","34.38","$878.42M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/srce"
"VNET","21Vianet Group, Inc.","23.5","$2.66B","2011","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/vnet"
"TWOU","2U, Inc.","43.57","$2.81B","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/twou"
"QFIN","360 Finance, Inc.","12.01","$1.76B","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/qfin"
"KRKR","36Kr Holdings Inc.","3.43","$128.61M","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/krkr"
"JOBS","51job, Inc.","67.03","$4.5B","2004","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/jobs"
"ETNB","89bio, Inc.","38.82","$654.27M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/etnb"
"JFK","8i Enterprises Acquisition Corp","10.38","$77.1M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfk"
"JFKKR","8i Enterprises Acquisition Corp","1.0301","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkkr"
"JFKKU","8i Enterprises Acquisition Corp","12.76","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkku"
"JFKKW","8i Enterprises Acquisition Corp","1.5101","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkkw"
"EGHT","8x8 Inc","17.19","$1.79B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght"
"NMTR","9 Meters Biopharma, Inc.","0.595","$82.67M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/nmtr"
"JFU","9F Inc.","1.4","$273.27M","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/jfu"
"AAON","AAON, Inc.","57.79","$3.02B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aaon"
"ABEO","Abeona Therapeutics Inc.","2.16","$183.12M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abeo"
"ABMD","ABIOMED, Inc.","312.73","$14.09B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/abmd"
"AXAS","Abraxas Petroleum Corporation","0.1863","$31.31M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/axas"
"ACIU","AC Immune SA","7.75","$556.91M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aciu"
"ACIA","Acacia Communications, Inc.","67.71","$2.85B","2016","Technology","Semiconductors","https://old.nasdaq.com/symbol/acia"
"ACTG","Acacia Research Corporation","3.82","$188.25M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/actg"
"ACHC","Acadia Healthcare Company, Inc.","31.12","$2.77B","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/achc"
"ACAD","ACADIA Pharmaceuticals Inc.","39.22","$6.23B","1985","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acad"
"ACAM","Acamar Partners Acquisition Corp.","10.16","$388.08M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acam"
"ACAMU","Acamar Partners Acquisition Corp.","10.38","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acamu"
"ACAMW","Acamar Partners Acquisition Corp.","1.15","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acamw"
"ACST","Acasti Pharma, Inc.","0.217","$21.03M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acst"
"AXDX","Accelerate Diagnostics, Inc.","12.35","$695.99M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/axdx"
"ACCP","Accelerated Pharma, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/accp"
"XLRN","Acceleron Pharma Inc.","93.29","$5.59B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/xlrn"
"ACCD","Accolade, Inc.","34.47","$1.69B","2020","n/a","n/a","https://old.nasdaq.com/symbol/accd"
"ARAY","Accuray Incorporated","2.3","$208.07M","2007","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/aray"
"ACEVU","ACE Convergence Acquisition Corp.","9.95","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acevu"
"ACLL","ACell, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/acll"
"ACRX","AcelRx Pharmaceuticals, Inc.","1.23","$111.1M","2011","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrx"
"ACER","Acer Therapeutics Inc.","2.63","$31.33M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acer"
"ACHV","Achieve Life Sciences, Inc. ","7.64","$27.41M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/achv"
"ACIW","ACI Worldwide, Inc.","30.25","$3.52B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/aciw"
"ACRS","Aclaris Therapeutics, Inc.","2.35","$100.68M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrs"
"ACMR","ACM Research, Inc.","95.23","$1.72B","2017","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acmr"
"ACNB","ACNB Corporation","21.57","$187.57M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/acnb"
"ACOR","Acorda Therapeutics, Inc.","0.5242","$25.15M","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/acor"
"ATVI","Activision Blizzard, Inc","83.45","$64.41B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/atvi"
"AFIB","Acutus Medical, Inc.","37.38","$1.03B","2020","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/afib"
"ADMS","Adamas Pharmaceuticals, Inc.","5.28","$149.33M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adms"
"ADMP","Adamis Pharmaceuticals Corporation","0.6035","$44.61M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/admp"
"AHCO","AdaptHealth Corp. ","21.12","$1.78B","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/ahco"
"ADAP","Adaptimmune Therapeutics plc","8.38","$1.3B","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adap"
"ADPT","Adaptive Biotechnologies Corporation","41.79","$5.67B","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adpt"
"ADXN","Addex Therapeutics Ltd","14.7","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxn"
"ADUS","Addus HomeCare Corporation","92.94","$1.46B","2009","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/adus"
"AEY","ADDvantage Technologies Group, Inc.","2.12","$24.99M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://old.nasdaq.com/symbol/aey"
"ADIL","Adial Pharmaceuticals, Inc","1.4","$18.99M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adil"
"ADILW","Adial Pharmaceuticals, Inc","0.3599","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adilw"
"ADTX","ADiTx Therapeutics, Inc.","2.67","$18.63M","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adtx"
"ADMA","ADMA Biologics Inc","2.28","$196.88M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adma"
"ADBE","Adobe Inc.","533.8","$256.05B","1986","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/adbe"
"ADTN","ADTRAN, Inc.","11.44","$548.64M","1994","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/adtn"
"ADRO","Aduro Biotech, Inc.","2.98","$241.56M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adro"
"ADES","Advanced Emissions Solutions, Inc.","3.94","$73.12M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/ades"
"AEIS","Advanced Energy Industries, Inc.","76.45","$2.93B","1995","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aeis"
"AMD","Advanced Micro Devices, Inc.","90.22","$105.92B","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/amd"
"ADXS","Advaxis, Inc.","0.4394","$27.56M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxs"
"ADVM","Adverum Biotechnologies, Inc.","12.31","$1.2B","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/advm"
"DWEQ","AdvisorShares Dorsey Wright Alpha Equal Weight ETF","24.9231","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dweq"
"DWAW","AdvisorShares Dorsey Wright FSM All Cap World ETF","33.2039","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwaw"
"DWUS","AdvisorShares Dorsey Wright FSM US Core ETF","33.66","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwus"
"DWMC","AdvisorShares Dorsey Wright Micro-Cap ETF","22.335","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwmc"
"DWSH","AdvisorShares Dorsey Wright Short ETF","17.56","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwsh"
"ACT","AdvisorShares Vice ETF","26.825","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/act"
"AEGN","Aegion Corp","16.22","$499.11M","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/aegn"
"AGLE","Aeglea BioTherapeutics, Inc.","7.47","$333.16M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agle"
"AEHR","Aehr Test Systems","1.84","$42.86M","1997","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/aehr"
"AMTX","Aemetis, Inc","2.28","$47.82M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/amtx"
"AERI","Aerie Pharmaceuticals, Inc.","11.1","$516.31M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/aeri"
"AVAV","AeroVironment, Inc.","78.4","$1.89B","2007","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/avav"
"ARPO","Aerpio Pharmaceuticals, Inc.","1.29","$54.27M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/arpo"
"AIH","Aesthetic Medical International Holdings Group Ltd.","4.63","$109.33M","2019","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/aih"
"AEZS","AEterna Zentaris Inc.","0.4414","$27.67M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aezs"
"AEMD","Aethlon Medical, Inc.","1.35","$16.3M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/aemd"
"AFMD","Affimed N.V.","3.52","$297.42M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/afmd"
"AFYA","Afya Limited","25.03","$2.33B","2019","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/afya"
"AGBA","AGBA Acquisition Limited","10.37","$61.96M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agba"
"AGBAR","AGBA Acquisition Limited","0.2101","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbar"
"AGBAU","AGBA Acquisition Limited","10.7","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbau"
"AGBAW","AGBA Acquisition Limited","0.2399","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbaw"
"AGEN","Agenus Inc.","4.24","$777.8M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/agen"
"AGRX","Agile Therapeutics, Inc.","3.04","$265.38M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agrx"
"AGYS","Agilysys, Inc.","25.69","$606.01M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/agys"
"AGIO","Agios Pharmaceuticals, Inc.","41.26","$2.85B","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agio"
"AGMH","AGM Group Holdings Inc.","15.3924","$444.7M","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/agmh"
"AGNC","AGNC Investment Corp.","13.99","$7.77B","2008","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agnc"
"AGNCM","AGNC Investment Corp.","23.72","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncm"
"AGNCN","AGNC Investment Corp.","24.45","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncn"
"AGNCO","AGNC Investment Corp.","23.45","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agnco"
"AGNCP","AGNC Investment Corp.","22.71","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncp"
"API","Agora, Inc.","56.94","$5.65B","2020","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/api"
"AGFS","AgroFresh Solutions, Inc.","2.51","$132.72M","2014","Finance","Business Services","https://old.nasdaq.com/symbol/agfs"
"AIKI","AIkido Pharma Inc.","0.6167","$21.54M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/aiki"
"ALRN","Aileron Therapeutics, Inc.","1.19","$46.72M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alrn"
"AIMT","Aimmune Therapeutics, Inc.","34.19","$2.24B","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aimt"
"AIRT","Air T, Inc.","11.19","$32.25M","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/airt"
"AIRTP","Air T, Inc.","21.16","n/a","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/airtp"
"AIRTW","Air T, Inc.","0.0401","n/a","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/airtw"
"ATSG","Air Transport Services Group, Inc","25.63","$1.53B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/atsg"
"AIRG","Airgain, Inc.","13.68","$132.07M","2016","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/airg"
"ANTE","AirNet Technology Inc.","1.11","$13.95M","n/a","Technology","Advertising","https://old.nasdaq.com/symbol/ante"
"AKAM","Akamai Technologies, Inc.","119.57","$19.45B","1999","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/akam"
"AKTX","Akari Therapeutics Plc","1.64","$54.87M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aktx"
"AKCA","Akcea Therapeutics, Inc.","18.17","$1.85B","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/akca"
"AKBA","Akebia Therapeutics, Inc.","10","$1.43B","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/akba"
"KERN","Akerna Corp.","5.14","$72.26M","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/kern"
"KERNW","Akerna Corp.","0.52","n/a","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/kernw"
"AKRO","Akero Therapeutics, Inc.","33.33","$1.16B","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/akro"
"AKER","Akers Biosciences Inc.","2.53","$22.07M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/aker"
"AKUS","Akouos, Inc.","24.73","$849.99M","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/akus"
"AKTS","Akoustis Technologies, Inc.","8.17","$311.01M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/akts"
"AKU","Akumin Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aku"
"ALRM","Alarm.com Holdings, Inc.","63.25","$3.1B","2015","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/alrm"
"ALSK","Alaska Communications Systems Group, Inc.","2.31","$123.97M","1999","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/alsk"
"ALAC","Alberton Acquisition Corporation","10.6802","$49.3M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/alac"
"ALACR","Alberton Acquisition Corporation","0.28","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/alacr"
"ALACU","Alberton Acquisition Corporation","10.8","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/alacu"
"ALACW","Alberton Acquisition Corporation","0.18","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/alacw"
"ALBO","Albireo Pharma, Inc.","27.83","$417.19M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/albo"
"ALDX","Aldeyra Therapeutics, Inc.","6.26","$241.84M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aldx"
"ALEC","Alector, Inc.","12.35","$978.89M","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/alec"
"ALRS","Alerus Financial Corporation","20.75","$355.25M","2019","Finance","Major Banks","https://old.nasdaq.com/symbol/alrs"
"ALXN","Alexion Pharmaceuticals, Inc.","113.82","$24.95B","1996","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alxn"
"ALCO","Alico, Inc.","30.22","$226.4M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/alco"
"ALIT","Alight Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alit"
"ALGN","Align Technology, Inc.","324.43","$25.56B","2001","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/algn"
"ALIM","Alimera Sciences, Inc.","5.65","$28.43M","2010","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alim"
"ALYA","Alithya Group inc.","2","$116.16M","n/a","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/alya"
"ALJJ","ALJ Regional Holdings, Inc.","1.03","$43.44M","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/aljj"
