"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"DDD","3D Systems Corporation","5.59","$677.15M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddd"
"MMM","3M Company","169.51","$97.64B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/mmm"
"WBAI","500.com Limited","2.98","$128.14M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/wbai"
"WUBA","58.com Inc.","55.67","$8.35B","2013","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/wuba"
"EGHT","8x8 Inc","17.19","$1.79B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght"
"AHC","A.H. Belo Corporation","1.56","$37.25M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/ahc"
"AOS","A.O Smith Corporation","50.19","$8.1B","n/a","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/aos"
"ATEN","A10 Networks, Inc.","8.54","$665.51M","2014","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/aten"
"AIR","AAR Corp.","20.52","$724.43M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/air"
"AAN","Aaron&#39;s,  Inc.","57.42","$3.86B","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aan"
"ABB","ABB Ltd","25.85","$55.02B","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/abb"
"ABT","Abbott Laboratories","109.44","$193.77B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abt"
"ABBV","AbbVie Inc.","93.95","$165.81B","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abbv"
"ANF","Abercrombie & Fitch Company","12.7","$792.17M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/anf"
"AGD","Aberdeen Global Dynamic Dividend Fund","9.77","$122.61M","2006","n/a","n/a","https://old.nasdaq.com/symbol/agd"
"AWP","Aberdeen Global Premier Properties Fund","4.91","$419.35M","2007","n/a","n/a","https://old.nasdaq.com/symbol/awp"
"ACP","Aberdeen Income Credit Strategies Fund","10.23","$178.33M","2011","n/a","n/a","https://old.nasdaq.com/symbol/acp"
"JEQ","Aberdeen Japan Equity Fund, Inc. ","7.96","$106.73M","1992","n/a","n/a","https://old.nasdaq.com/symbol/jeq"
"ASGI","Aberdeen Standard Global Infrastructure Income Fund","19.45","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/asgi"
"AOD","Aberdeen Total Dynamic Dividend Fund","8.34","$879.29M","2007","n/a","n/a","https://old.nasdaq.com/symbol/aod"
"ABM","ABM Industries Incorporated","38.67","$2.58B","n/a","Finance","Diversified Commercial Services","https://old.nasdaq.com/symbol/abm"
"AKR","Acadia Realty Trust","11.47","$989.46M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/akr"
"ACEL","Accel Entertainment, Inc.","13.14","$1.15B","2017","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/acel"
"ACN","Accenture plc","247.18","$157.4B","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/acn"
"ACCO","Acco Brands Corporation","6.8","$642.34M","n/a","Consumer Durables","Publishing","https://old.nasdaq.com/symbol/acco"
"ATV","Acorn International, Inc.","13.8063","$35.63M","2007","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/atv"
"AYI","Acuity Brands, Inc. ","110.91","$4.4B","n/a","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/ayi"
"GOLF","Acushnet Holdings Corp.","36.05","$2.68B","2016","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/golf"
"ADX","Adams Diversified Equity Fund, Inc.","17.21","$1.87B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adx"
"PEO","Adams Natural Resources Fund, Inc.","11.51","$342.75M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/peo"
"ADCT","ADC Therapeutics SA","39.84","$2.82B","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adct"
"AGRO","Adecoagro S.A.","5.08","$598.58M","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/agro"
"ADNT","Adient plc","18.68","$1.75B","2016","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/adnt"
"ADT","ADT Inc.","10.86","$8.37B","2018","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/adt"
"ATGE","Adtalem Global Education Inc.","34.62","$1.8B","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/atge"
"AAP","Advance Auto Parts Inc","158.1","$10.93B","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/aap"
"ADSW","Advanced Disposal Services, Inc.","29.99","$2.72B","2016","Public Utilities","Environmental Services","https://old.nasdaq.com/symbol/adsw"
"WMS","Advanced Drainage Systems, Inc.","58.67","$4.08B","2014","Capital Goods","Containers/Packaging","https://old.nasdaq.com/symbol/wms"
"ASIX","AdvanSix Inc.","13.86","$388.5M","2016","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/asix"
"AVK","Advent Convertible and Income Fund","14.57","$503.03M","2003","n/a","n/a","https://old.nasdaq.com/symbol/avk"
"ACM","AECOM","39.46","$6.33B","2007","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/acm"
"AEFC","Aegon Funding Company LLC","25.58","n/a","2019","Finance","Life Insurance","https://old.nasdaq.com/symbol/aefc"
"AEB","Aegon NV","24.82","n/a","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeb"
"AEG","Aegon NV","2.72","$5.58B","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeg"
"AER","Aercap Holdings N.V.","29.78","$3.86B","2006","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aer"
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","41.58","$3.27B","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/ajrd"
"AMG","Affiliated Managers Group, Inc.","71.06","$3.31B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/amg"
"MGR","Affiliated Managers Group, Inc.","27.24","n/a","2019","Finance","Investment Managers","https://old.nasdaq.com/symbol/mgr"
"AFL","Aflac Incorporated","36.9","$26.31B","n/a","Finance","Accident &Health Insurance","https://old.nasdaq.com/symbol/afl"
"MITT","AG Mortgage Investment Trust, Inc.","2.82","$96.54M","2011","n/a","n/a","https://old.nasdaq.com/symbol/mitt"
"MITT^A","AG Mortgage Investment Trust, Inc.","14","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^a"
"MITT^B","AG Mortgage Investment Trust, Inc.","13.88","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^b"
"MITT^C","AG Mortgage Investment Trust, Inc.","13.95","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^c"
"AGCO","AGCO Corporation","73.81","$5.53B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/agco"
"A","Agilent Technologies, Inc.","103.42","$31.93B","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/a"
"AEM","Agnico Eagle Mines Limited","81.98","$19.81B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aem"
"ADC","Agree Realty Corporation","66.66","$3.59B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/adc"
"AL","Air Lease Corporation","31.49","$3.58B","2011","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/al"
"AL^A","Air Lease Corporation","23.25","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/al^a"
"APD","Air Products and Chemicals, Inc.","310.31","$68.55B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/apd"
"ALP^Q","Alabama Power Company","27.93","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alp^q"
"ALG","Alamo Group, Inc.","116.25","$1.38B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/alg"
"AGI","Alamos Gold Inc.","10.1","$4.04B","2015","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/agi"
"ALK","Alaska Air Group, Inc.","40.47","$5B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/alk"
"AIN","Albany International Corporation","53.76","$1.74B","n/a","Basic Industries","Textiles","https://old.nasdaq.com/symbol/ain"
"ALB","Albemarle Corporation","99.65","$10.6B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/alb"
"ACI","Albertsons Companies, Inc.","14","$6.71B","2020","Consumer Services","Food Chains","https://old.nasdaq.com/symbol/aci"
"AA","Alcoa Corporation","14.67","$2.73B","2016","Basic Industries","Aluminum","https://old.nasdaq.com/symbol/aa"
"ALC","Alcon Inc.","58","$28.37B","2019","Health Care","Ophthalmic Goods","https://old.nasdaq.com/symbol/alc"
"ALEX","Alexander & Baldwin, Inc.","12.4","$897.12M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/alex"
"ALX","Alexander&#39;s, Inc.","265.55","$1.36B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/alx"
"ARE","Alexandria Real Estate Equities, Inc.","170.37","$21.49B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/are"
"AQN","Algonquin Power & Utilities Corp.","14.19","$8.4B","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqn"
"AQNA","Algonquin Power & Utilities Corp.","27.67","n/a","2018","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqna"
"AQNB","Algonquin Power & Utilities Corp.","27.66","n/a","2019","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqnb"
"BABA","Alibaba Group Holding Limited","296.07","$801.06B","2014","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/baba"
"Y","Alleghany Corporation","567.21","$8.12B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/y"
"ATI","Allegheny Technologies Incorporated","8.72","$1.11B","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/ati"
"ALLE","Allegion plc","104.8","$9.67B","2013","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/alle"
"ALE","Allete, Inc.","54.45","$2.82B","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/ale"
"ADS","Alliance Data Systems Corporation","46.07","$2.2B","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/ads"
"AFB","Alliance National Municipal Income Fund Inc","13.86","$398.4M","2002","n/a","n/a","https://old.nasdaq.com/symbol/afb"
"AWF","Alliance World Dollar Government Fund II","10.93","$942.49M","1993","n/a","n/a","https://old.nasdaq.com/symbol/awf"
"AB","AllianceBernstein Holding L.P.","28.91","$2.78B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/ab"
"AIO","AllianzGI Artificial Intelligence & Tech Opp Fd","22.62","$776.39M","2019","n/a","n/a","https://old.nasdaq.com/symbol/aio"
"CBH","AllianzGI Convertible & Income 2024 Target Term Fund","9.27","$169.24M","2017","n/a","n/a","https://old.nasdaq.com/symbol/cbh"
"NCV","AllianzGI Convertible & Income Fund","4.94","$446.45M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ncv"
"NCV^A","AllianzGI Convertible & Income Fund","26.33","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ncv^a"
"NCZ","AllianzGI Convertible & Income Fund II","4.43","$337.19M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ncz"
"NCZ^A","AllianzGI Convertible & Income Fund II","26.07","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ncz^a"
"ACV","AllianzGI Diversified Income & Convertible Fund","27.55","$285.25M","2015","n/a","n/a","https://old.nasdaq.com/symbol/acv"
"NFJ","AllianzGI Dividend, Interest & Premium Strategy Fu","12.63","$1.2B","2005","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/nfj"
